offset,pre_x,pre_y,pre_z,post_x,post_y,post_z,scores,cleft_scores,segmentid_pre,segmentid_post,pre_svid,post_svid,pre_id,post_id,x,y,z,partner,Tags,flywire.id
136242269,591644,207760,76960,591576,207840,76960,261.869903564453,137,2528097786,3574128250,"=""80786410894283939""","=""80786410894290659""","=""720575940628115084""","=""720575940616046363""",591644,207760,76960,"=""720575940628115084""",TRUE,"="""""
136242297,591988,207524,77160,591888,207600,77120,221.536376953125,49,0,3574128250,"=""80786410894291580""","=""80786410894290706""","=""720575940612337575""","=""720575940616046363""",591988,207524,77160,"=""720575940612337575""",TRUE,"="""""
167137454,576528,202848,56280,576460,202924,56240,567.361938476562,144,2528735621,2528737683,"=""80504798411516132""","=""80504798411533161""","=""720575940611661805""","=""720575940616046363""",576528,202848,56280,"=""720575940611661805""",TRUE,"="""""
167137472,576504,202832,56320,576400,202892,56320,18.1595897674561,140,2528735621,2528737683,"=""80504798411516132""","=""80504798411533161""","=""720575940611661805""","=""720575940616046363""",576504,202832,56320,"=""720575940611661805""",TRUE,"="""""
167137496,576264,202980,56480,576368,202976,56480,383.601776123047,161,2528097806,2528737683,"=""80504798411550048""","=""80504798411533161""","=""720575940632437856""","=""720575940616046363""",576264,202980,56480,"=""720575940632437856""",TRUE,"="""""
167142497,577896,203148,55880,577856,203280,55840,543.842163085938,142,2527458123,2528737603,"=""80575167155677547""","=""80575235875148922""","=""720575940628113292""","=""720575940616046363""",577896,203148,55880,"=""720575940628113292""",FALSE,"="""""
167142648,577244,202968,56720,577224,202868,56760,6.70104217529297,100,2528735728,2659249962,"=""80575167155717803""","=""80575167155722959""","=""720575940610903062""","=""720575940616046363""",577244,202968,56720,"=""720575940610903062""",FALSE,"="""""
171429439,575864,207296,63600,575752,207292,63680,17.2758026123047,172,2791042904,2921553781,"=""80504867197671416""","=""80504867197662737""","=""720575940629359076""","=""720575940616046363""",575864,207296,63600,"=""720575940629359076""",FALSE,"="""""
171429451,576144,207196,63640,576120,207200,63720,60.3445930480957,103,2791042904,2921555484,"=""80504867197668992""","=""80504867197690592""","=""720575940629359076""","=""720575940616046363""",576144,207196,63640,"=""720575940629359076""",FALSE,"="""""
171436601,571848,207196,62840,571776,207240,62880,222.947952270508,163,0,2921551944,"=""80434498453473425""","=""80434498453481641""","=""720575940624804248""","=""720575940616046363""",571848,207196,62840,"=""720575940624804248""",FALSE,"="""""
171956412,574576,212600,63240,574496,212704,63200,84.91748046875,140,2922193536,2922833260,"=""80505004636600464""","=""80505004636611744""","=""720575940612337575""","=""720575940616046363""",574576,212600,63240,"=""720575940612337575""",FALSE,"="""""
171956423,574588,212548,63280,574492,212636,63280,450.367279052734,141,2922193536,2922833260,"=""80505004636608236""","=""80505004636602079""","=""720575940612337575""","=""720575940616046363""",574588,212548,63280,"=""720575940612337575""",FALSE,"="""""
171956473,573880,211948,63480,573952,212060,63440,62.0436553955078,145,2659892065,2922833260,"=""80504935917130840""","=""80504935917143546""","=""720575940610903062""","=""720575940616046363""",573880,211948,63480,"=""720575940610903062""",FALSE,"="""""
172141104,575072,208084,62520,575128,208156,62480,68.8574676513672,57,2791041350,0,"=""80504935917100708""","=""80504935917125595""","=""720575940613725708""","=""720575940616046363""",575072,208084,62520,"=""720575940613725708""",FALSE,"="""""
172141274,575424,207560,63400,575536,207600,63400,241.534515380859,154,2921553620,2921553639,"=""80504867197636298""","=""80504867197662737""","=""720575940613725708""","=""720575940616046363""",575424,207560,63400,"=""720575940613725708""",FALSE,"="""""
172141329,575836,207352,63560,575740,207428,63560,472.944641113281,160,2791042904,2921553639,"=""80504867197671416""","=""80504867197662737""","=""720575940629359076""","=""720575940616046363""",575836,207352,63560,"=""720575940629359076""",FALSE,"="""""
172371952,577464,205248,71280,577356,205200,71280,264.529357910156,147,2659888633,3181941519,"=""80575235942102596""","=""80575235942094177""","=""720575940611661805""","=""720575940616046363""",577464,205248,71280,"=""720575940611661805""",FALSE,"="""""
172371972,577456,205240,71360,577372,205164,71360,98.3511428833008,139,2659888633,3181941519,"=""80575235942102596""","=""80575235942090449""","=""720575940611661805""","=""720575940616046363""",577456,205240,71360,"=""720575940611661805""",TRUE,"="""""
172372007,577428,205212,71520,577332,205172,71520,28.9798812866211,149,2659888633,3181941519,"=""80575235942100166""","=""80575235942097751""","=""720575940611661805""","=""720575940616046363""",577428,205212,71520,"=""720575940611661805""",FALSE,"="""""
172372030,577396,205068,71680,577312,205124,71640,284.29296875,149,2659888633,3181941519,"=""80575235942102596""","=""80575235942097751""","=""720575940611661805""","=""720575940616046363""",577396,205068,71680,"=""720575940611661805""",FALSE,"="""""
172379803,580912,205032,71240,580844,205100,71240,375.395965576172,97,2922193536,3312455959,"=""80575235942092857""","=""80575235942096692""","=""720575940612337575""","=""720575940616046363""",580912,205032,71240,"=""720575940612337575""",TRUE,"="""""
172379812,580536,205228,71360,580644,205212,71360,395.165222167969,115,2528097786,3312455959,"=""80575235942096713""","=""80575235942100137""","=""720575940628115084""","=""720575940616046363""",580536,205228,71360,"=""720575940628115084""",FALSE,"="""""
172379818,580924,205004,71240,580852,205064,71320,5.72995853424072,103,2922193536,3312455959,"=""80575235942092857""","=""80575235942100137""","=""720575940612337575""","=""720575940616046363""",580924,205004,71240,"=""720575940612337575""",FALSE,"="""""
