bodyid,pre,post,status,statusLabel,cropped,name,type,cellBodyFiber,voxels,soma,total.outputs,total.inputs,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.outputs.density,total.inputs.density,axon.outputs.density,dend.outputs.density,axon.inputs.density,dend.inputs.density,total.length,axon.length,dend.length,pd.length,segregation_index,overlap_locality
5813002096,112,165,Traced,Roughly traced,FALSE,AVL04op_pct(AVL04)_R,AVL04op_pct,lVLPT1,337278679,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1194.836896,224.595715,597.9601153,257.0155138,0.088596115,NA
1322470509,311,888,Traced,Roughly traced,FALSE,R3p_b(ring)(AVM07)_L,R3p_b,NA,482914190,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,974.8742954,292.2796802,561.0169499,26.41731509,0.001326199,NA
5813020455,297,978,Traced,Traced,FALSE,R3w_b(ring)(AVM07)_R,R3w_b,igL2,632503431,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1169.299657,419.8947986,529.0097705,12.4367872,1.10E-05,NA
1383379730,458,714,Traced,Roughly traced,FALSE,AVL11y_a_pct(AVL11)_R,AVL11y_a_pct,aAVLP1,880211214,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2488.605144,494.8807204,1875.072958,66.29777505,0.14204146,NA
1291366237,326,1070,Traced,Traced,FALSE,R3p_a(ring)(AVM07)_R,R3p_a,igL2,660805684,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1393.569598,807.0310741,379.1595863,76.03805797,0.059437393,NA
1289700410,48,323,Traced,Roughly traced,FALSE,Delta0L,Delta0L,PDM02,149936502,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,573.6918236,269.1899321,76.265812,55.43951632,0.141120139,NA
1292807819,282,1018,Traced,Traced,FALSE,R3m(ring)(AVM07)_R,R3m,igL2,601155533,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1359.483609,628.2835871,532.2098864,85.66136965,0.003293048,NA
1261592479,114,102,Traced,Roughly traced,FALSE,PVL03oa_pct(PVL03)_R,PVL03oa_pct,PLPF4,364904822,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,950.8649795,285.5841359,450.0188943,102.4540667,0.55493172,1.33E-13
1292803650,336,1017,Traced,Traced,FALSE,R3m(ring)(AVM07)_R,R3m,igL2,660361648,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1432.010131,518.8423253,701.7349834,91.18709598,0.003539708,NA
5813033371,2056,5080,Traced,Roughly traced,FALSE,PVL07s_pct(PVL07)_R,PVL07s_pct,PLPF10,3081698585,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,9488.784349,7295.066529,1786.648046,56.40172442,0.004469088,NA
1292816565,333,1029,Traced,Traced,FALSE,R3m(ring)(AVM07)_R,R3m,igL2,678163417,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1512.982509,1020.124419,286.6927245,77.68497289,0.023509447,NA
1478491581,78,141,Traced,Roughly traced,FALSE,AVL10p_pct(AVL10)_R,AVL10p_pct,LLEA,338938088,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1145.336695,371.7532282,533.6760328,131.4267018,0.22973628,7.47E-06
1292794996,277,959,Traced,Traced,FALSE,R3m(ring)(AVM07)_R,R3m,igL2,589141286,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1260.142476,866.50191,189.5193308,83.65383792,0.021723943,NA
1291780710,339,980,Traced,Roughly traced,FALSE,R3m(ring)(AVM07)_L,R3m,NA,434350907,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1271.030824,760.7473456,448.2709576,33.67029795,0.001801942,NA
1292799346,333,924,Traced,Roughly traced,FALSE,R3m(ring)(AVM07)_L,R3m,NA,448964617,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1282.395261,231.4440461,956.433918,39.93433142,0.000179799,NA
1291780675,295,968,Traced,Traced,FALSE,R3m(ring)(AVM07)_R,R3m,igL2,616228691,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1363.527107,957.0601128,205.2585687,84.15405168,0.016943829,NA
981194127,3940,8956,Traced,Roughly traced,FALSE,ADL26a_pct(ADL26)_R,ADL26a_pct,hLHT5,5064064007,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,15575.45071,6953.218443,8296.152264,60.84105388,0.027087356,NA
1293135946,241,838,Traced,Roughly traced,FALSE,R3m(ring)(AVM07)_L,R3m,NA,364340950,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1037.43281,599.2734728,335.5306782,34.42435038,0.00039678,NA
1473695252,253,517,Traced,Roughly traced,FALSE,AVL04y_pct(AVL04)_R,AVL04y_pct,lVLPT1,683979132,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1773.188617,214.4792162,1286.609676,196.3655885,0.1538376,NA
1751333757,98,260,Traced,Roughly traced,FALSE,AVL04v_e_pct(AVL04)_R,AVL04v_e_pct,lVLPT1,270430258,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1049.065311,296.8536321,631.2063341,56.76331078,0.050724385,NA
5813085192,120,262,Traced,Roughly traced,FALSE,AVL04op_pct(AVL04)_R,AVL04op_pct,lVLPT1,382308179,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1433.205523,202.6037673,884.6216129,238.3856728,0.128630907,0.003576073
