bodyId,primary_neurite,type,instance,compartments,pre,post,status,classification,typical_atypical,comment,soma,dendrite,axon,naive_valence,valence,neurotransmitter,included,exclusion_reason
457196444,,MBON18,MBON18(a2sc)_L(2),a2sc,468,388,Traced,safe,Typical,,L,R,R,app,aver,ach,x,"only include for DS analysis, not KC->MBON"
423774471,,MBON19,MBON19(a2p3p)(PDL05)_R,a2p3p,299,1484,Traced,safe,Typical,,R,R,R,app,aver,ach,x,
517854468,,MBON19,MBON19(a2p3p)(PDL19)_R,a2p3p,310,1869,Traced,safe,Typical,,R,R,R,app,aver,ach,x,
792368888,,MBON20,MBON20(y1y2)(AVM04)_R,y1y2a,1988,6119,Traced,safe,Typical,,R,R,R,app,aver,None,x,
5813022896,,MBON21,MBON21(y4y5)(PVL06)_R,y4y5a,1168,12501,Traced,safe,Typical,,R,R,B,aver,app,None,x,
5813042659,,MBON22,MBON22(calyx)(PVL06)_R,calyx,810,14077,Traced,safe,Typical,,R,R,B,None,None,None,x,
423382015,,MBON23,MBON23(a2sp)(PDL05)_R,a2sp,733,4466,Traced,safe,Typical,,R,R,R,app,aver,None,x,
487143497,,MBON24,MBON24(B2y5)(PDL05)_R,B2y5,723,8248,Traced,safe,Atypical,,R,R,R,aver,app,None,x,
550081497,,MBON24,MBON24(B2y5)_L,B2y5,67,5926,Traced,safe,Atypical,,L,L,L,aver,app,None,,only include for KC->MBON not DS
612742248,,MBON25,MBON25(y1y2)(ADM07)_L,y1y2b,232,1414,Traced,safe,Atypical,,L,R,B,aver,app,None,x,unsure
612422902,,MBON25,MBON25(y1y2)(ADM07)_R,y1y2b,177,386,Traced,safe,Atypical,,R,None,L,aver,app,None,,unsure
895441451,,MBON26,MBON26(B'2d)(PDM28)_R,B'2d,1283,11518,Traced,safe,Atypical,,R,R,R,aver,app,None,x,
5813075634,,MBON26,MBON26(B'2d)_L,B'2d,673,4955,Traced,safe,Atypical,,L,L,L,aver,app,None,,fragment
5813061538,,MBON27,MBON27(y5d)(PVM03)_L,y5d,795,5861,Traced,safe,Atypical,,L,L,R,aver,app,None,x,"only for DS analysis, not KC-MBON"
5813117385,,MBON27,MBON27(y5d)(PVM03)_R,y5d,667,7616,Traced,safe,Atypical,,R,R,L,aver,app,None,x,unsure of whether to include for DS analysis
5813021291,,MBON28,MBON28(PLPF4)(PVL03)_R,,817,4274,Traced,safe,Atypical,,R,R,R,None,None,None,,MB-C1 - not an MBON
5813075020,,MBON28,MBON28(PLPF4)(PVL03)_R,,783,4144,Traced,safe,Atypical,,R,R,R,None,None,None,,MB-C1 - not an MBON
5813052909,,MBON29,MBON29(y4y5)(PVL06)_L,y4y5b,752,5180,Traced,safe,Atypical,,L,B,B,aver,app,None,x,
5813058048,,MBON29,MBON29(y4y5)(PVL06)_R,y4y5b,761,8466,Traced,safe,Atypical,,R,B,B,aver,app,None,x,
5813022234,,MBON30,MBON30(y1y2y3)(AVM07)_R,y1y2y3,1452,13026,Traced,safe,Atypical,,R,B,B,app,aver,None,x,
894020730,,MBON31,MBON31(a'1a)(ADM10)_R,a'1a,1085,10429,Traced,safe,Atypical,,R,R,B,app,aver,None,x,
706948318,,MBON31,MBON31(a'1a)_L,a'1a,932,3287,Traced,safe,Atypical,,L,L,B,app,aver,None,x,
642732835,,MBON32,MBON32(y2)(ADM08)_R,y2a,687,15067,Traced,safe,Atypical,,R,R,B,app,aver,None,x,
643847447,,MBON32,MBON32(y2)_L,y2a,1062,9105,Traced,safe,Atypical,,L,L,B,app,aver,None,x,
547552266,,MBON33,MBON33(y2y3)(ADM05)_R,y2y3,710,6338,Traced,safe,Atypical,,R,R,R,app,aver,None,x,
1173814525,,MBON34,MBON34(y2)(ADM07)_L,y2b,204,933,Traced,safe,Atypical,,L,R,B,app,aver,None,x,
5813033000,,MBON34,MBON34(y2)(ADM07)_R,y2b,202,596,Traced,safe,Atypical,,R,L,B,app,aver,None,x,
579916831,,PDL05v_pct,MBON15-like(a'1a'2)(PDL05)_R,a'1a'2,245,2622,Traced,safe,Typical,,R,R,R,app,aver,None,x,
457175171,,PDL05v_pct,MBON15-like(a'1a'2)(PDL05)_R,a'1a'2,270,2029,Traced,safe,Typical,,R,R,R,app,aver,None,x,
5813040205,,,MBON08(y3)_L,y3,1214,5799,Traced,uncertain,,,L,L,R,app,aver,gaba,x,unsure
5813088360,,,MBON35(y2)_L?notMBON,y2,1,2302,Traced,needs reclassification,,,,L,L,,,,,fragment
5813057583,,,MBON36(y4y5)_L,y4y5,327,9204,Traced,roughly traced,Atypical,,,L,L,,,,,fragment
425104178,,,MBONnew?,,943,3053,Traced,needs reclassification,Atypical,,,B,B,,,,,unsure
